Island隨身包，自備容器輕盈打包！出發一趟友善環境之旅｜透明島永續旅行計畫,Double Plus Good,1328510,1280,https://www.zeczec.com/projects/crystal_island,"透明島計畫帶領你用透明的眼睛，踏出一趟善待土地的永續旅行。與環境組織咖希部灣合作，在今夏蘭嶼開啟一連串環境推廣行動，讓你玩得開心，同時友善島嶼環境。,zeczec",3 天,2022/04/25 21:00 – 2022/08/10 23:59
Apitor Robot樂學程式積木 基礎綠Q、進階藍S | 孩子們的mini課外學伴！,Apitor x 有設計,4566803,3980,https://www.zeczec.com/projects/apitor-robot-qs,"全球首發！新體感操控方式、新系列30+玩法、相容樂高與歷代積木！結合主流圖像式編程、互動玩法與物理應用，讓孩子在玩樂中學習STEAM！分階段從組裝、動力操控到編程，陪伴孩子一同成長！,zeczec",32 天,2022/07/25 21:00 – 2022/09/08 23:59
Rascasse 日本職人設計 ❘ 輕巧、大容量、能迅速結帳的高效能錢包,Rascasse,31000,3280,https://www.zeczec.com/projects/Rascasse,"能瞬間取出信用卡、零錢的輕巧皮夾，日本職人設計，創新的QUATTRO系統，提供四種取出及收納零錢、信用卡、紙鈔的方式，輕巧且大容量收納，令人愛不釋手的完美短夾。,zeczec",8 天,2022/06/15 12:00 – 2022/08/15 23:59
TIDY 2.0 小長夾🌈｜全新升級改版，RFID防盜，同時擁有長夾的大容量、短夾的便攜性！「小 、輕 、薄」,TIDY X 有設計,6890455,2780,https://www.zeczec.com/projects/tidy-20,"經過三年構思TIDY長夾全面改版再升級！增加RFID防盜功能，並把長夾變得更小、更薄、更輕了！,zeczec",5 天,2022/05/25 10:30 – 2022/08/12 23:59
戰爭來臨前做好最壞的打算｜黑熊學院 民間防衛訓練計畫,黑熊學院 kuma academy,3664065,1000,https://www.zeczec.com/projects/kuma-acadamy,"台灣比過去20年更接近戰爭邊緣，提升民眾抵抗意志，培養自我保護、守護他人的能力，起造自己的護國神山。,zeczec",4 天,2022/06/28 12:00 – 2022/08/11 23:59
全球首幅 -【 梵谷•鳶尾花 】3D多層次浮雕夜光燙金拼圖 暨 清水模預鑄版畫,羅曼朵 婚卡,106595,1360,https://www.zeczec.com/projects/hdh-iris,"3D多層次深度浮雕，每個人都能摸的藝術拼圖，從紙張浮雕燙金技術到清水模工法，我們以創新技術追求生活的藝術。,zeczec",54 天,2022/08/04 11:20 – 2022/09/30 23:59
MECOVER Pro 極限傘｜征服環境、地域、四季，針對台灣人設計，史上最強悍折傘,MECOVER,898502,1999,https://www.zeczec.com/projects/mecover-pro,"緩震耐候、無縫瞬乾、換色百搭、恆久續航 。跨級頂規材質、多國專利認證、超凡製造工藝，徹底解決「傘布破損」無法維修的痛楚，杜絕「傘骨斷裂」重複買傘的浪費。,zeczec",24 天,2022/07/05 21:00 – 2022/08/31 23:59
【 Haxson AirFan｜智慧風扇清淨機 】集結 20 項重點功能設計，只為一次性解決您所有的床上生活需求！,Haxson TW,5217482,7980,https://www.zeczec.com/projects/haxson-airfan,"10 段可調式風扇與暖風機設計，降溫消暑、居家保暖皆宜。獨立睡眠區空氣清淨機，UV-C、碳濾網與負離子淨化三合一。 多功能床頭燈與藍牙音響功能，智慧時鐘設計與多種鬧鐘模式選擇。AirFan 品質...,zeczec",18 天,2022/05/17 12:00 – 2022/08/26 02:00
台灣首部芭蕾紀錄片！《舞徑》院線上映集資計畫,舞徑 Ballet in Tandem,293000,100,https://www.zeczec.com/projects/balletintandem,"導演楊偉新耗時 9 年紀錄台灣芭蕾舞者的追夢故事，邀請你一起來支持，讓更多觀眾能在大銀幕上欣賞到屬於台灣的第一部芭蕾紀錄片！,zeczec",24 天,2022/07/13 12:00 – 2022/08/31 23:59
《星光燦爛Secret Love》遇見她，讓你執著一世的禁忌愛戀,coucougemu,659399,290,https://www.zeczec.com/projects/secret-love,"星空下你遇見了一位美麗動人的女孩，身份的限制讓你們之間的戀情成了枷鎖，你願生生世世只為追求一段刻骨銘心的禁忌之愛嗎?,zeczec", 15 小時,2022/05/20 20:00 – 2022/08/08 23:59
Simmpo iPad TÜV 抗藍光簡單貼｜全世界第一款有效濾掉 60% 有害藍光，更是全台唯一通過德國萊茵認證的 iPad 保護貼！,Simmpo,1300346,1180,https://www.zeczec.com/projects/simmpoglass,"台灣唯一通過德國萊茵「眼部舒適認證」，最多眼科醫師推薦的 iPad 保護貼！獨創奈米光合吸收技術：阻絕有害藍光外螢幕還不偏黃！日本塗佈技術讓紙膜清透好寫，全球首創 100％ 無塵貼膜神器 ,zeczec",18 天,2022/07/12 12:00 – 2022/08/26 02:00
【全新 NEO 系列包款】 突破印象、披上色彩、遊走城市，我們都是時尚先「型」者,NIID,704675,3190,https://www.zeczec.com/projects/neo,"NIID 推出全新系列【NEO】，實驗使用新材質 HybridTex & Ultra Fiber 創造出都會潮男潮女愛不釋手、大小適中、功能與造型兼具，風格超強烈的實用 後背包、托特包、單肩包。,zeczec",46 天,2022/07/26 21:00 – 2022/09/23 02:00
香風淨涼晴雨傘｜涼風Ｘ香氛Ｘ遮陽｜有效降溫9度，在悶熱炎夏為你創造清涼天堂！,美而耐(MEI&NAI),190031,2200,https://www.zeczec.com/projects/MEIandNAI-fragrant-fresh-cool,"為悶熱天氣研發，結合空氣清淨、涼爽風口、持久香氛、遮陽遮雨，所有困擾一次解決，優雅、舒適一手帶著走，美而耐陪你度過每個晴雨天！,zeczec",24 天,2022/06/15 21:00 – 2022/08/31 23:59
《我們都愛葉樹茵 》重新膠友｜Invisible、DREAM 經典新創 黑膠發行集資！,唯我群體工作室,38500,1300,https://www.zeczec.com/projects/susuyeh,"第一代女性文青唱作人《葉樹茵》，因為《黑名單工作室》進入樂壇，林強、萬芳、陳珊妮、林一峰、安溥、謝震廷...等，都是她的知音，有的音樂人合作過，有些音樂人也翻唱她的作品；2007年葉樹茵決定淡出...,zeczec",38 天,2022/07/15 12:10 – 2022/09/14 23:59
ECLIPSE 隨行濾茶壺｜整組茶具，一手掌握！,初芳宇,3186820,3690,https://www.zeczec.com/projects/eclipse-travel-press,"內建量杯 × 陶瓷純飲 × 真空保溫 × 茶葉舒展 × 萃取控制 × 超好清洗！ 專業又時尚的整組茶具，一手就能掌握！,zeczec",14 天,2022/05/20 12:00 – 2022/08/21 23:59
【練愛士－人生自救戰鬥卡】你的戰力訓練師｜融合自律生活、挑戰盲盒與自我檢測的心靈牌卡,小瑜星座,872617,899,https://www.zeczec.com/projects/love-warrior,"透過設定目標、抽牌解憂、挑戰修煉、完成目標等步驟，讓練愛士找回自信與勇氣，拿回戰鬥本能，不需要額外解牌書，一秒上手即可解惑，50張金句卡+1張命定角色卡及1張修煉說明卡等著你來探索,zeczec",44 天,2022/07/20 12:00 – 2022/09/20 23:59
吃得到的世界花季，讓風土超越時空，綻放滋味 | 台灣四季花蜜馬卡龍 ＆ 蜜界瑰寶「尼加拉瓜無螫蜂蜜」,甜味之間,148180,1450,https://www.zeczec.com/projects/mielvita,"讓花季永生！以「四季蜜味馬卡龍」，在舌尖詮釋一份詩意滿盈的春花秋月。搭配全台首見「蜜界魚子醬-無螫蜂蜜」，口感酸甜，風味強勁，味道收藏家不可錯過！,zeczec",39 天,2022/07/26 20:00 – 2022/09/16 02:00
【 Arsenal愛森諾｜Torq Station 精密扭力扳手組 】不再鎖爆座管跟龍頭、螺絲永不滑牙 ！一手解鎖，超輕巧！,愛森諾工具 - Arsenal Tool Inc.,1136495,1690,https://www.zeczec.com/projects/arsenal-torq-station-9e91f486-10cd-4df3-9dab-532a329f75f6,"常常不小心鎖太緊，破壞物件？ 扳手太大不方便攜帶超麻煩?【 Torq Station精密扭力扳手組 】解決你的這些煩惱！輕巧掌心大、一手解鎖， 讓你告別這些擔憂，暢快無阻的到處鎖！,zeczec",10 天,2022/07/05 12:00 – 2022/08/18 02:00
【Innfact | GaN好快！ 模組延長線】全球首創，配置隨心所欲的模組化設計！,innfact,2196692,2480,https://www.zeczec.com/projects/krait,"全球首創，能隨心所欲拆裝、依需求改變配置的延長線！而且，不用變壓器也能直接充筆電！ 它能辦到的，絕對比你想像的多更多！,zeczec",3 天,2022/06/29 11:00 – 2022/08/10 23:59
