集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
《 CLICK&TOUCH 2｜魔速鍵盤 》引領潮流，自帶觸控板和滑鼠的三合一全境智能鍵盤,Prestigio Taiwan,1588801,3580,https://www.zeczec.com//projects/click-touch-2,"80%鍵盤表面就是觸控板，同時連接5台裝置( Xbox、PS5、手機、投影機、平板...)，透過手機APP，隨時打造自己的專屬鍵盤。提供藍牙、2.4G雙模連接，並支援USB隨插即用，讓你邊充電邊使用。,zeczec",25 天,2022/05/19 12:00 – 2022/06/24 02:00,2022-05-19 12:00:00,2022-06-24 02:00:00
SANSUI極勁正負離子高速吹風機｜日本最美．極輕設計，速乾與柔順最強結合！挑戰市面最好吹的全方位吹風機,Jyiteh,1330720,3980,https://www.zeczec.com//projects/sansuidryer,"【極勁正負離子高速吹風機】旗艦吹速6大提升，台灣全新登場！「航空級 DC 無刷馬達動力 + 2000萬正負離子除靜電降噪」 第一款以虎口量身設計最佳握感，只要 3 分鐘，輕盈吹出最集中的柔順風感。,zeczec",19 天,2022/05/16 20:00 – 2022/06/17 23:59,2022-05-16 20:00:00,2022-06-17 23:59:00
地表最強！PHILIPS行動KTV｜你與歌神的距離，就在這支麥克風！,DoubleLife,1229180,3590,https://www.zeczec.com//projects/PHILIPS_KTV,"地表最強行動KTV，顛覆你的想像！海量歌單、演唱會Hi-Fi等級晶片、一鍵消音、快充歡唱...現在就丟掉你家塵封已久的K歌神器吧！,zeczec",16 天,2022/05/09 12:00 – 2022/06/14 23:59,2022-05-09 12:00:00,2022-06-14 23:59:00
韓國 HYUNDAI 捲捲地板｜輕輕一滾，DIY居家改造超easy！吸震隔音、軟底設計，寵物嬰兒都安心！,韓國 Hyundai 現代科技家居,1093540,2280,https://www.zeczec.com//projects/hyundai-rolling-floor,"韓國 HYUNDAI 最新「捲捲地板」，不僅擁有舒適腳感，更能吸震隔音，九大功能輕鬆幫您解決家裡傳統地板的問題，最重要的是：自己鋪5坪地板只要1小時，租屋族也能輕鬆上手！,zeczec",20 天,2022/05/05 12:00 – 2022/06/19 02:00,2022-05-05 12:00:00,2022-06-19 02:00:00
 The Marglobel 麥哲倫地球儀｜一起重回大航海時代 創造屬於您的冒險故事,質木模型,1039846,1950,https://www.zeczec.com//projects/marglobel,"麥哲倫地球儀，以麥哲倫航行全球為設計概念，USB馬達電動自轉，3D展示海洋分布和陸地結構，不只是有趣的桌上擺飾，也是精緻的科學教材，707個零件，絕對能讓您感受DIY組裝的樂趣。,zeczec",23 天,2022/05/04 21:00 – 2022/06/22 02:00,2022-05-04 21:00:00,2022-06-22 02:00:00
GOTRAL木顆粒野營爐 | 露營輕鬆又環保，給您戶外廚房全新體驗！,GOTRAL,849395,3430,https://www.zeczec.com//projects/GOTRAL,"顛覆野炊標準的新型態，戶外料理裝備不是只有瓦斯爐！GOTRAL 木顆粒野營爐來了！生火方便，快速駕馭，100%天然再生燃料，輕鬆搭配各種鍋具，煎煮燉烤樣樣搞定！讓您開心又安心！,zeczec",22 天,2022/05/10 11:00 – 2022/06/20 23:59,2022-05-10 11:00:00,2022-06-20 23:59:00
Googabox寶貝早教盒｜妳最溫柔的育兒後盾，陪妳一起走過育兒時光,GOOGOOGAGA,622664,2999,https://www.zeczec.com//projects/googabox,"專為現代父母而生的育兒錦囊，不管妳現在幾歲，現在也只是「0歲媽咪」。每一期為寶貝和父母精心企劃的早教盒，讓你不再焦慮，享受值得珍惜的育兒時光,zeczec",17 天,2022/05/09 20:00 – 2022/06/15 23:59,2022-05-09 20:00:00,2022-06-15 23:59:00
MagFlött 磁吸立架 | 一秒讓你的 iPad 「飄」起來，你的 iPad 就是 iMac！,Magflott Taiwan,593385,2890,https://www.zeczec.com//projects/magflott,"專為 iPad Pro & iPad Air 而生的簡約支架，全金屬切割、360° 旋轉與 180° 翻轉，讓手中的 iPad 更能成為全方位生產工具，與肩頸痠痛說 bye bye！,zeczec",27 天,2022/05/12 11:15 – 2022/06/25 23:59,2022-05-12 11:15:00,2022-06-25 23:59:00
【CyberPower 4 in 1 多功能無線充電座】減法生活，一機搞定！,CyberPower,544900,1155,https://www.zeczec.com//projects/cyberpower-4-in-1-desk-top-charger,"專為台灣用戶打造的 4 in 1 多功能充電座，整合無線快充板 x AC插孔 x USB-C x USB-A， 多裝置充電一次到位！,zeczec",32 天,2022/05/17 12:00 – 2022/06/30 23:59,2022-05-17 12:00:00,2022-06-30 23:59:00
【OIVIO FIT ｜都市防水鞋】簡約百搭新姿態，梅雨季救星 🌟 給你真防水,Oivio Fit,406540,2480,https://www.zeczec.com//projects/oivio-fit,"集 時尚、防滑、防水、透氣、環保 於一身，以簡約的概念設計靈活百搭的款式，什麼樣的場合和活動都合適！OIVIO FIT 為您提供最適合台灣梅雨氣候、行走時最舒適自在的感受。,zeczec",25 天,2022/05/17 12:00 – 2022/06/24 02:00,2022-05-17 12:00:00,2022-06-24 02:00:00
YOX升級版第二代水牙線丨史上最mini丨沖牙器丨清潔牙縫丨按摩牙齦丨清新口氣丨預防蛀牙,火星創造,344620,3360,https://www.zeczec.com//projects/yox,"去除食物殘渣、牙齦護理、高效潔牙，YOX升級版第二代水牙線丨沖牙器一機搞定!,zeczec",20 天,2022/05/10 20:00 – 2022/06/19 02:00,2022-05-10 20:00:00,2022-06-19 02:00:00
老派浪漫｜美國ION Audio 3合1復古箱式黑膠唱機 × AM/FM 收音機【TRIO LP neo】｜黑膠文藝復興 串起世代共鳴,桃子良品,266986,3599,https://www.zeczec.com//projects/TRIOLPneo,"黑膠唱片近年襲捲音樂圈，不管是老歌星的唱片經典復刻，或是新一代歌手跟進黑膠熱潮；做為一個音樂愛好者，擁有實體唱片的浪漫，是串流音樂所無法取代的。 ​ ​ 桃子良品獨家代理的美國音樂設備大廠...,zeczec",19 天,2022/05/18 12:00 – 2022/06/18 02:00,2022-05-18 12:00:00,2022-06-18 02:00:00
獨家首創｜聲波極限衝鋒襪｜360°環狀防護✕太空氣墊吸震✕極乾爽技術。進擊全方位運動 別讓世界改變你 躍出雙腳的衝勁！,藍盾騎士 Lendan Knight,195175,1000,https://www.zeczec.com//projects/ldknight123,"駕馭所有運動的聲波極限衝鋒襪，五項登峰制霸功能，最強抗震舒緩、乾爽舒適、耐磨耐操等職業級感受，讓您運動時衝鋒前線，足下安心無『味』！,zeczec",28 天,2022/05/05 20:00 – 2022/06/26 23:59,2022-05-05 20:00:00,2022-06-26 23:59:00
一鍵啟動，幫你90天自動真空保鮮，日本智慧真空器專家「Cielob 」 ,Neo Choice ,191970,1480,https://www.zeczec.com//projects/cielob,"「更新鮮」「更方便」「更健康」 Cielob 採用最新自動真空技術，最高45kpa真空度! “抗氧+防腐+智慧收納” 保持食材長久新鮮，讓烹飪料理變得更美味更有趣。,zeczec",32 天,2022/05/03 21:00 – 2022/07/01 11:00,2022-05-03 21:00:00,2022-07-01 11:00:00
超級食物纖萃飲 | 新纖美學 • 原生源起 | 高效萃取技術 #TIAC4 TECH™ 完整保留羽衣甘藍營養,原生源起,175131,1650,https://www.zeczec.com//projects/YUANSEN_YUANCHI,"你的送禮最佳選擇。每一口都是頂級纖維，真實蔬菜打造的質感生活！ 獨創非水溶性膳食纖維保健飲品，由專業醫學團隊研發，用最天然的食物，給你最純淨的美味。,zeczec",32 天,2022/05/01 12:00 – 2022/06/30 23:59,2022-05-01 12:00:00,2022-06-30 23:59:00
Beckmann ｜挪威護脊背包 ：STREET GO 上班出遊都能背，防潑水、高機能、還很時髦！,Beckmann Taiwan,140330,2985,https://www.zeczec.com//projects/beckmann-2022-street-go,"為護脊而生的背包：Beckmann 挪威護脊包，由75年製包經驗的團隊設計打造，簡單俐落的外型，帶給使用者最輕便好背的體驗！,zeczec",22 天,2022/05/20 11:55 – 2022/06/20 23:59,2022-05-20 11:55:00,2022-06-20 23:59:00
好初漫報｜每讀這份報紙60秒，代表你人生又愉悅了一分鐘。,好初早餐,134273,599,https://www.zeczec.com//projects/hoochuupaper,"好初漫報就像是雞排一樣，不能天天吃，但兩個月吃一次就是特別爽快。我們就是像雞排一樣的美好存在，而且特別營養。,zeczec",35 天,2022/05/24 20:00 – 2022/07/04 02:00,2022-05-24 20:00:00,2022-07-04 02:00:00
wesmile 為您呈上最高品質的『 PARIS LUXURY 巴黎奢華系列 美顏超音波AI智能電動牙刷洗臉機 』，一機在手，滿足您口腔與臉部清潔所有需求。,躍杰股份有限公司,113750,3290,https://www.zeczec.com//projects/wesmile-paris-luxury,"wesmile 刷牙 洗臉 一機搞定！最高品質的電動牙刷洗臉機！,zeczec",22 天,2022/05/06 00:00 – 2022/06/20 23:59,2022-05-06 00:00:00,2022-06-20 23:59:00
【動誌金牌學院－線上講座】運動員就是你的神隊友 和你用正能量攻略生活,動誌,103969,500,https://www.zeczec.com//projects/sportz-gold-medal-academy,"【動誌金牌學院－線上講座】邀請九位台灣頂尖運動員，透過18-20分鐘線上講座的方式，與你分享賽場上的大小事、過程中的歡笑與淚水，以運動員正向、樂觀的態度，和你一起面對生活中的課題，成為你的神隊友。,zeczec",32 天,2022/05/16 19:00 – 2022/06/30 23:59,2022-05-16 19:00:00,2022-06-30 23:59:00
