商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
【海樂緹 睡眠元年毯被】擁有次世代規格的冬被/四季毯，一次解決被子所有問題,海樂緹 石墨烯,1585317,6580,https://www.zeczec.com/projects/hlt-quilt,"助眠纖維，保健效果，極速調溫，持久涼感，超強保暖，石墨烯嫘縈專利製程，一體成形新技術，無助劑後加工，真正一件抵N件,zeczec",14 天,2022/10/20 20:00 – 2022/11/30 23:59,2022-10-20 20:00:00,2022-11-30 23:59:00
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,1564462,1540,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",21 天,2022/10/25 12:00 – 2022/12/07 12:00,2022-10-25 12:00:00,2022-12-07 12:00:00
〖 蠟筆小新熱壓吐司機 〗零失敗! 三分鐘療癒上桌♡ 高顏值小新×小白雙烤紋★陪你吃可愛長大,Norns,1284962,1690,https://www.zeczec.com/projects/norns,"日本官方授權 ‧ 全台首發 ♡《蠟筆小新：風起雲湧 光榮烤吐司之路》登場◆預購就送日式兩用收納袋◆省時省力一鍋到底★ 咖啡廳等級的吐司／鬆餅在家輕鬆做。一機在手，療癒無限、美味無窮,zeczec",34 天,2022/11/01 11:00 – 2022/12/20 23:59,2022-11-01 11:00:00,2022-12-20 23:59:00
這真的太 G8 了！由玩家們舉辦的遊戲展，給你更不一樣的體驗！,G-EIGHT 巨罷娛樂,1197863,990,https://www.zeczec.com/projects/geight2022,"一個由玩家自己籌辦，屬於玩家的電玩展。 為台灣獨立遊戲為主打的遊戲展，今年冬季隆重開展~,zeczec",4 天,2022/10/18 20:00 – 2022/11/20 23:59,2022-10-18 20:00:00,2022-11-20 23:59:00
PowerFun 動力趣｜72合一電動智慧積木組｜相容樂高，一起變身動感積木！,makerzoid,954200,2280,https://www.zeczec.com/projects/powerfun,"最超值的動感積木組合，能避障、感應物體及燈光、還能控制通電！ 72種造型、四大主題一次滿足，還可以與其他積木相容，讓家中原有積木全都跟著PowerFun一起變成動感積木！,zeczec",14 天,2022/10/18 10:30 – 2022/11/30 23:59,2022-10-18 10:30:00,2022-11-30 23:59:00
GG褲 海洋系｜來自大海的淬鍊，獨家使用來自大海的SEAWOOL® 海毛紗，兼具舒適/輕薄/快乾/恆溫涼感/永久除臭 功能,URBAN CREW,944920,980,https://www.zeczec.com/projects/GGCOOLSEA,"熱賣超過200萬的【GG褲(森林系)】推出全新海洋系！太空ionic+太空銀纖維 結合 SEAWOOL® 海毛紗，一次擁有 遠紅外線∕涼感舒適∕吸濕排汗∕99% 抗菌防臭∕3D立體囊袋∕防磨腰頭...,zeczec",29 天,2022/11/01 11:30 – 2022/12/15 23:59,2022-11-01 11:30:00,2022-12-15 23:59:00
請來買「腳頭老大」們做的「快樂襪」｜瑪利亞身心障礙青年終於開襪子店了，努力籌措第一批訂單！,財團法人瑪利亞社會福利基金會,904585,1698,https://www.zeczec.com/projects/merry-young-x,"誰說身心障礙青年只能等人救助？刷新以往對於心智障礙者的偏見，一起穿上他們創作的舊城心故事 Merry Youngの 老派約會快樂襪，「走到哪裡」都能感受到台中爆笑又天真的人情味,zeczec",43 天,2022/11/01 11:00 – 2022/12/29 23:59,2022-11-01 11:00:00,2022-12-29 23:59:00
【Circle By Circle，孩子的教養旅程一步不漏】0-1.5 歲寶貝限定！唯一幫助你突破教養不一致訂閱制教具＋給照顧者的完整指引 ,Circle By Circle 圈圈玩旅,874800,1500,https://www.zeczec.com/projects/circle-by-circle,"◖◖ 不只是教玩具，以醫學、科學為基礎，融合跨學派教育理論; 前樂高 LEGO 設計總監＋五大領域專家共同創作，依月齡精細劃分，陪你輕鬆解鎖寶寶每一個發展里程碑！◗◗,zeczec",14 天,2022/10/19 11:00 – 2022/11/30 23:59,2022-10-19 11:00:00,2022-11-30 23:59:00
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,851195,1180,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",14 天,2022/10/26 12:30 – 2022/11/30 23:59,2022-10-26 12:30:00,2022-11-30 23:59:00
REO 大馬士革主廚刀｜天然紋路美感盡現！讓你刀刀精準俐落，縱橫天下料理！,Hard Crafts,800629,3090,https://www.zeczec.com/projects/reo,"美國募資破800萬，千人秒殺，超高CP值，完美結合「歐日廚刀工藝」與「兩大頂級鋼材」的職人逸品主廚刀！,zeczec",27 天,2022/10/25 21:00 – 2022/12/14 02:00,2022-10-25 21:00:00,2022-12-14 02:00:00
月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,763237,2991,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec",33 天,2022/11/08 20:00 – 2022/12/20 02:00,2022-11-08 20:00:00,2022-12-20 02:00:00
ACERA活瓷能量杯 | 不可思議的神奇杯子，水、咖啡、茶、牛奶都變更好喝了,Weis,696200,3660,https://www.zeczec.com/projects/acera-energy-cup,"手工製作的隨身杯，杯身內膽能量釋放改變了分子結構，任何飲品倒入後都會產生神奇的變化，讓您無時無刻充滿驚喜！,zeczec",34 天,2022/10/25 12:00 – 2022/12/21 02:00,2022-10-25 12:00:00,2022-12-21 02:00:00
YOSHIDA 日本吉田職人銼刀｜指尖的極致俐落潔淨，燕三条百年工藝｜同場加開：毛小孩寵物專用銼刀,Single Step,670940,1080,https://www.zeczec.com/projects/yoshida-japan,"「吉田銼刀製作所」創立於1900年，位於日本金屬工藝之都燕三条。一百二十年來僅專注以純手工製作精良銼刀。容易斷裂不易修剪的脆弱指甲也能使用，輕輕劃過就能保持潔淨俐落。特別開賣台灣獨家霧銀限量款!,zeczec",19 天,2022/11/08 20:00 – 2022/12/05 23:59,2022-11-08 20:00:00,2022-12-05 23:59:00
世界第二輕大傘『極度輕高爾夫』271g輕盈登場｜超抗風、防潑水｜雨傘王首創終身免費維修！,雨傘王,659118,799,https://www.zeczec.com/projects/ultra_lightweight,"親子外出、開車族、高爾夫愛好者、三五好友，想拿出可遮擋所有人的直立大傘， 卻因為重量﹑花色、功能，寧願撐折傘自己淋雨也不願選擇長傘？就讓『極度輕高爾夫』打破刻板印象！ ,zeczec",29 天,2022/11/04 15:00 – 2022/12/15 23:59,2022-11-04 15:00:00,2022-12-15 23:59:00
▍Suzzi 雙芯護淨蓮蓬頭 ▍三重防護，打造純淨水，耗材減量愛護地球,Suzzi,639770,1950,https://www.zeczec.com/projects/suzzishower,"你在乎飲用水，是不是卻忽略了生活用水? 首支以""台灣水質""而設計的蓮蓬頭，只需從出水末端就可以簡易、快速、輕鬆改善水質。,zeczec",13 天,2022/10/20 12:00 – 2022/11/30 03:00,2022-10-20 12:00:00,2022-11-30 03:00:00
《梗圖黃牌》最異想天開的圖文配對！迷因梗王就是你！,多重宙文創娛樂,627000,1680,https://www.zeczec.com/projects/TW-MEME-Yellow-Cards,"最歡樂的派對桌遊《黃牌》推出全新商品，匯集台灣最熱門的各種迷因。如果配出太冷的梗可是會被發黃牌的喔！,zeczec",53 天,2022/11/07 20:00 – 2023/01/08 23:59,2022-11-07 20:00:00,2023-01-08 23:59:00
Studio Smoll 巧翻皮夾2.0｜流暢隨行，快意感應,StudioSmoll,586366,1460,https://www.zeczec.com/projects/revolve-wallet2,"使用義大利植鞣皮革，製程環保，化繁為簡滿足各種日常所需，簡約而細膩的陪伴我們每個外出時刻。,zeczec",36 天,2022/10/17 21:00 – 2022/12/22 23:59,2022-10-17 21:00:00,2022-12-22 23:59:00
三年煉一傘！台灣研發挑戰世界最細的晴雨傘！一把摺疊傘最理想的樣子就是【極工傘】,米塔培拉精品傘業有限公司,563910,968,https://www.zeczec.com/projects/metabrella,"關於「一把摺疊傘最理想的樣子」。透過骨架機構的迴避設計，達到收折後是世界第一細的特徵，同時保有晴雨傘最易被犧牲掉的傘面尺寸，並維持了雨傘應有的強韌程度。預期將可賦予我們的產品-極工傘真正的輕巧易...,zeczec",41 天,2022/11/01 07:00 – 2022/12/27 23:59,2022-11-01 07:00:00,2022-12-27 23:59:00
【Apartment.b 男子公寓】無重力內著 內著新革命｜無重力般的舒適體驗｜機能・抑菌・舒適,Apartment.b 男子公寓,541209,1499,https://www.zeczec.com/projects/apartmentb-underwear,"無重力內著，給您無重力般的舒適體驗｜使用Tactel Nylon6.6 超細纖維｜美國 Sciessent 銅銀離子 除臭技術｜創造時尚與機能兼具的新時代內著,zeczec",65 天,2022/11/10 11:00 – 2023/01/20 23:59,2022-11-10 11:00:00,2023-01-20 23:59:00
《台灣機車百態｜The Scooters of Taiwan 》英國插畫家 Tom Parker 筆下最逗趣的機車街景！,Tom Parker X 海吉工作室,507519,1350,https://www.zeczec.com/projects/taiwan-scooters-100,"去年進行《台北地圖》集資時，我把這些可愛的騎士們做成《台灣味》貼紙，沒想到收到大家熱烈迴響，於是開啟了這個《台灣機車百態》的計畫，完成了更多可愛小車車！,zeczec",34 天,2022/11/02 21:00 – 2022/12/20 23:59,2022-11-02 21:00:00,2022-12-20 23:59:00
