集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間,集資開始,集資結束
Geyser 全天候防水鞋｜最強 4 in 1！雨鞋＋登山鞋＋運動鞋＋外出休閒鞋，一次擁有,Tropicfeel,1178032,3499,https://www.zeczec.com/projects/geyser,"不只具有 360 度全面防水的專利技術，再生羊毛製成的鞋身帶來透氣的全新體驗，且共有 10 款亮眼外型可選擇，讓你天天都想穿著它出門！,zeczec",29 天,2022/07/19 12:00 – 2022/08/23 02:00,2022-07-19 12:00:00,2022-08-23 02:00:00
Simmpo iPad TÜV 抗藍光簡單貼｜全世界第一款有效濾掉 60% 有害藍光，更是全台唯一通過德國萊茵認證的 iPad 保護貼！,Simmpo,1077685,2080,https://www.zeczec.com/projects/simmpoglass,"台灣唯一通過德國萊茵「眼部舒適認證」，最多眼科醫師推薦的 iPad 保護貼！獨創奈米光合吸收技術：阻絕有害藍光外螢幕還不偏黃！日本塗佈技術讓紙膜清透好寫，全球首創 100％ 無塵貼膜神器 ,zeczec",32 天,2022/07/12 12:00 – 2022/08/26 02:00,2022-07-12 12:00:00,2022-08-26 02:00:00
《詭鎮懸案》懸疑推理桌遊┃令人窒息的恐怖體驗，邊玩邊害怕，但又讓你非玩不可！,狗吠火車娛樂設計,1033311,1440,https://www.zeczec.com/projects/MythosTales,"全球百萬熱銷「克蘇魯神話」文字推理桌上遊戲，繁中版即將推出。回到1920年代的陰森小鎮，調查源自古老邪惡的駭人真相。,zeczec",31 天,2022/06/28 20:00 – 2022/08/25 03:59,2022-06-28 20:00:00,2022-08-25 03:59:00
【 Arsenal愛森諾｜Torq Station 精密扭力扳手組 】不再鎖爆座管跟龍頭、螺絲永不滑牙 ！一手解鎖，超輕巧！,愛森諾工具 - Arsenal Tool Inc.,1010340,1690,https://www.zeczec.com/projects/arsenal-torq-station-9e91f486-10cd-4df3-9dab-532a329f75f6,"常常不小心鎖太緊，破壞物件？ 扳手太大不方便攜帶超麻煩?【 Torq Station精密扭力扳手組 】解決你的這些煩惱！輕巧掌心大、一手解鎖， 讓你告別這些擔憂，暢快無阻的到處鎖！,zeczec",24 天,2022/07/05 12:00 – 2022/08/18 02:00,2022-07-05 12:00:00,2022-08-18 02:00:00
 最速面紙盒 ▋TOS 紙巾供應系統 Tissue Offering System ▋ 提昇你內心的辛烷值。,HooBue,901003,2250,https://www.zeczec.com/projects/tos-tissue-offering-system,"首創電子監測面紙殘量，全鋁合金打造，抽吧！提昇心靈馬力，一個動作讓生活細節充滿貼背感。,zeczec",53 天,2022/07/20 21:00 – 2022/09/15 23:59,2022-07-20 21:00:00,2022-09-15 23:59:00
MECOVER Pro 極限傘｜征服環境、地域、四季，針對台灣人設計，史上最強悍折傘,MECOVER,740217,1999,https://www.zeczec.com/projects/mecover-pro,"緩震耐候、無縫瞬乾、換色百搭、恆久續航 。跨級頂規材質、多國專利認證、超凡製造工藝，徹底解決「傘布破損」無法維修的痛楚，杜絕「傘骨斷裂」重複買傘的浪費。,zeczec",38 天,2022/07/05 21:00 – 2022/08/31 23:59,2022-07-05 21:00:00,2022-08-31 23:59:00
獨家【備份豆腐】哆啦 A 夢設計款｜充電同時自動備份，手機容量救星！,Maktar Inc.,657144,1252,https://www.zeczec.com/projects/maktar,"睡前充電，睡醒已無痛備份完畢，外加輕巧好攜帶，旅行無感隨身帶著走〜這麼方便你／妳還等什麼,zeczec",25 天,2022/07/15 12:00 – 2022/08/18 23:59,2022-07-15 12:00:00,2022-08-18 23:59:00
流浪狂想曲 OMVOS Nomad Cross﹝次世代電動二輪﹞帶你去探險 ! ,OMVOS,639500,55900,https://www.zeczec.com/projects/omvos-nomadcross,"科技復古風潮 ! 全球首發 ""StreetStyle"" 電輔自行車，獨特不羈風格車型，同級中最強動力與最高續航，休閒通勤騎行等於每天運動，專屬於你的健康零碳移動 !,zeczec",38 天,2022/07/18 21:00 – 2022/08/31 23:59,2022-07-18 21:00:00,2022-08-31 23:59:00
Niche 城市旅人後座包 🏍 出發吧！盡騎探索，最穩固、安全的機車後座包。,NICHE樂奇,601260,4150,https://www.zeczec.com/projects/nichenoblerider,"擺脫機車族麻煩的帽奴枷鎖，給你更大容量的後座包，安全防盜、疾速穩固、大容量堆疊，隨心奔馳濱海及山路，享受自由不羈的旅程,zeczec",23 天,2022/07/05 21:00 – 2022/08/17 02:00,2022-07-05 21:00:00,2022-08-17 02:00:00
【練愛士－人生自救戰鬥卡】你的戰力訓練師｜融合自律生活、挑戰盲盒與自我檢測的心靈牌卡,小瑜星座,564408,888,https://www.zeczec.com/projects/love-warrior,"透過設定目標、抽牌解憂、挑戰修煉、完成目標等步驟，讓練愛士找回自信與勇氣，拿回戰鬥本能，不需要額外解牌書，一秒上手即可解惑，50張金句卡+1張命定角色卡及1張修煉說明卡等著你來探索,zeczec",58 天,2022/07/20 12:00 – 2022/09/20 23:59,2022-07-20 12:00:00,2022-09-20 23:59:00
【 LHiDS｜MagPac 磁吸收納包】自定義你的隨身收納！,Lhids Creative,508922,2499,https://www.zeczec.com/projects/magpac,"榮獲2022紅點設計大獎，延續獨家模組化的收納哲學，可任意拆裝隔板，輕鬆打造專屬隨身收納空間，使用方式不受限！,zeczec",3 天,2022/06/28 12:00 – 2022/07/28 02:00,2022-06-28 12:00:00,2022-07-28 02:00:00
