projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
Bouncy™斗篷胸背帶 │ 最可愛的城市探險裝備,Bouncy,244980,890,https://www.zeczec.com/projects/bouncy,"世界唯一有「斗篷」的胸背帶。擁有 12 項最完整的機能，集安全、機能、風格於一身。搭配創新的設計：汽車安全綁帶、夜間四色警示燈、同時有支援蘋果 AirTag 的保護殼。,zeczec",57 天,2022/12/27 12:00 – 2023/02/28 23:59,2022/12/27 12:00:00,2023/02/28 23:59:00,✅
北魏真書體｜源於城市，取自傳承，一款新時代的字體,北魏真書體,5657918,3300,https://www.zeczec.com/projects/zansyu,"北魏真書體，透過字體研究和電腦技術重新設計的全新楷書字體，以字體設計傳承、演繹文化，向世界傳遞新的語言使用形式。,zeczec",14 天,2022/12/14 21:00 – 2023/01/17 02:00,2022/12/14 21:00:00,2023/01/17 02:00:00,
【早鳥73折】iRef 家用智能驗光儀 | 在家就能測量視力度數 x 近遠視 x 散光 | 眼管家,康成生醫,426000,5000,https://www.zeczec.com/projects/iref,"台灣近視比率長年以來高居不下，有大多數學童都有近視問題.... 專為學齡孩童眼部而生，居家全面性的近視控制管理，在家就能享受到專業眼部數值檢測，一機搞定近視遠視散光！,zeczec",12 天,2022/12/01 21:00 – 2023/01/14 23:59,2022/12/01 21:00:00,2023/01/14 23:59:00,
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,1901806,1180,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",3 天,2022/10/26 12:30 – 2023/01/05 23:59,2022/10/26 12:30:00,2023/01/05 23:59:00,
【金十字舒壓仔】哎唷胃呀！ 捏了真爽！高壓族快樂解放！,金十字胃腸藥,87547,399,https://www.zeczec.com/projects/KingStom-stress-relief-toy,"別再捏泡泡紙惹，萬眾矚目的舒壓新選擇， 這不就來了嗎？金十字舒壓仔，煞氣現身！ 果斷捏下去，哎唷胃呀爽真快！數量有限， 絕不再版！你各位通通捏起來！,zeczec",26 天,2022/12/28 00:00 – 2023/01/28 23:59,2022/12/28 00:00:00,2023/01/28 23:59:00,✅
SKAH 高機能休閒褲｜可調節腰圍扣 x 高彈防潑水 x 超大容量口袋，休閑運動正式場合都能駕馭！,SKAH智慧調節休閒褲,81410,1690,https://www.zeczec.com/projects/xiu-xian-ku,"顛覆傳統休閑褲腰帶結構，採用旋轉可調節的腰帶設計，打破普通口袋設計，更能防風防雨，完美符合您各種需求！,zeczec",29 天,2022/12/31 00:00 – 2023/01/31 23:59,2022/12/31 00:00:00,2023/01/31 23:59:00,✅
【半導體金屬鍍膜升溫防水外套 】戶外機能走入城市：銅鈦金屬極速升溫、長效抗菌｜2 IN 1 設計，實現全場域穿搭自由！,HUNDR.,1616160,7990,https://www.zeczec.com/projects/wave-breaker-3l-jacket,"HUNDR. 秉持對簡約設計及布料科技的堅持，利用獨家半導體金屬鍍膜技術聯手台灣品牌oqLiq合作設計，打造出穿梭在城市間的The Wave Breaker 3L Jacket。 ,zeczec",14 天,2022/12/01 12:00 – 2023/01/16 23:59,2022/12/01 12:00:00,2023/01/16 23:59:00,
【SleekStrip︱超能磁吸手機支架】支架 x 卡夾 x 電子名片 工作娛樂生活一卡Go!,winchamp,380711,990,https://www.zeczec.com/projects/mag-sleekgrip-x,"獨家可替換面板設計，一秒切換功能面板；內建NFC晶片，一碰立即傳輸電子名片；內建卡夾可收納二張卡片，滿足外出旅遊、生活應用所需！,zeczec",16 天,2022/12/14 12:00 – 2023/01/18 23:59,2022/12/14 12:00:00,2023/01/18 23:59:00,
《雙城圖簿｜加泰隆尼亞與台灣的風景》第一本加泰隆尼亞與台灣七堵藝術家共同創造的雙語圖文書,小獸書屋,47850,1050,https://www.zeczec.com/projects/bbeastbooks,"藝術是粗鄙的解藥，擁有歷史的土地才是我們真正的故鄉。藝術家王傑與他的教授葛柏雅博士，以繪畫的方式呈現基隆七堵以及加泰隆尼亞小城的美與價值。,zeczec",29 天,2022/12/28 19:00 – 2023/01/31 23:59,2022/12/28 19:00:00,2023/01/31 23:59:00,✅
小富翁大贏家｜培養財務眼光的理財桌遊、親子引導影音課程,知識衛星 SAT. KNOWLEDGE,4042560,3300,https://www.zeczec.com/projects/financial-board-game-mj,"職業財報講師林明樟老師以投資理財作為出發點，讓大家能提早培養財務眼光，並在遊戲中體驗真實世界變化的桌遊,zeczec",20 天,2022/12/16 12:00 – 2023/01/22 23:59,2022/12/16 12:00:00,2023/01/22 23:59:00,
