projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period,group_period_start,group_period_end,new_product
請來買「腳頭老大」們做的「快樂襪」｜瑪利亞身心障礙青年終於開襪子店了，努力籌措第一批訂單！,財團法人瑪利亞社會福利基金會,1516274,1698,https://www.zeczec.com/projects/merry-young-x,"誰說身心障礙青年只能等人救助？刷新以往對於心智障礙者的偏見，一起穿上他們創作的舊城心故事 Merry Youngの 老派約會快樂襪，「走到哪裡」都能感受到台中爆笑又天真的人情味,zeczec",25 天,2022/11/01 11:00 – 2022/12/29 23:59,2022/11/01 11:00:00,2022/12/29 23:59:00,
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,1989982,1590,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",2 天,2022/10/25 12:00 – 2022/12/07 12:00,2022/10/25 12:00:00,2022/12/07 12:00:00,
【日本 ATEX｜V 型溫感指壓按摩椅墊】日本專利設計、工藝級按摩科技，小而有力。肩 / 頸 / 臀，真人感全方位按摩，一台搞定！,日本ATEX,4308582,3980,https://www.zeczec.com/projects/atex-v,"風靡全日本美臀推拿機，8 顆按摩球打造 3D 深層按摩，一台包辦按摩肩頸、腰部和臀部，布套可拆卸機洗。,zeczec",25 天,2022/11/17 12:00 – 2022/12/30 02:00,2022/11/17 12:00:00,2022/12/30 02:00:00,
PasswordPocket 密碼記憶神器｜解放大腦！給你最安全、方便的登入新選擇！,Atlancube ,953240,780,https://www.zeczec.com/projects/passwordpocket,"密碼不再忘！重要資訊不再擔心被窺看！一切掌握在手中！Atlancube 團隊致力於將最新科技帶入生活，創造更安全、迅速、方便的世界。,zeczec",12 天,2022/11/14 15:00 – 2022/12/16 23:59,2022/11/14 15:00:00,2022/12/16 23:59:00,
《瞎掰王》幹話到翻白眼，笑到肚子痛的白爛歡樂桌遊,狗吠火車娛樂設計,310970,990,https://www.zeczec.com/projects/TW-9upper,"你夠會瞎掰嗎？人生最重要技能「講幹話」你行嗎？快讓你朋友都笑到翻你白眼吧！,zeczec",37 天,2022/11/30 20:30 – 2023/01/10 23:59,2022/11/30 20:30:00,2023/01/10 23:59:00,✅
KIMU DUO 融蠟燈｜給關不掉的嗅覺，美好且安心的儀式感日常。,KIMU,1942780,3190,https://www.zeczec.com/projects/kimu-duo,"讓台灣燈具品牌 KIMU 打造比你更挑剔的香氛體驗。讓世界首創雙燈頭，立體你的五感，放大你的第六感。,zeczec",10 天,2022/10/06 11:00 – 2022/12/15 02:00,2022/10/06 11:00:00,2022/12/15 02:00:00,
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,2744269,950,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",37 天,2022/09/27 11:30 – 2023/01/11 02:00,2022/09/27 11:30:00,2023/01/11 02:00:00,
《梗圖黃牌》最異想天開的圖文配對！迷因梗王就是你！,多重宙文創娛樂,1179700,1680,https://www.zeczec.com/projects/TW-MEME-Yellow-Cards,"最歡樂的派對桌遊《黃牌》推出全新商品，匯集台灣最熱門的各種迷因。如果配出太冷的梗可是會被發黃牌的喔！,zeczec",35 天,2022/11/07 20:00 – 2023/01/08 23:59,2022/11/07 20:00:00,2023/01/08 23:59:00,
Hahow X 理科太太－理科太太的諮商筆記 線上課程,Hahow 好學校,1212538,1299,https://www.zeczec.com/projects/hahow-liketaitai,"「我不是心理師不能幫你諮商，但我在諮商室的另一頭和自己搏鬥了 100 多個小時，我想以學姊的身份，分享我的筆記，陪你走過這一段。」－理科太太,zeczec",39 天,2022/12/01 12:00 – 2023/01/12 23:59,2022/12/01 12:00:00,2023/01/12 23:59:00,✅
YOSHIDA 日本吉田職人銼刀｜指尖的極致俐落潔淨，燕三条百年工藝｜同場加開：毛小孩寵物專用銼刀,Single Step,931750,1080,https://www.zeczec.com/projects/yoshida-japan,"「吉田銼刀製作所」創立於1900年，位於日本金屬工藝之都燕三条。一百二十年來僅專注以純手工製作精良銼刀。容易斷裂不易修剪的脆弱指甲也能使用，輕輕劃過就能保持潔淨俐落。特別開賣台灣獨家霧銀限量款!,zeczec", 15 小時,2022/11/08 20:00 – 2022/12/05 23:59,2022/11/08 20:00:00,2022/12/05 23:59:00,
【 that 想想鍋｜超早鳥優惠強勢回歸】超越傳統電鍋的智能電鍋，星級料理隨時上桌！,that,2209815,10900,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 富錦樹台菜香檳星級年菜組合，預購開跑 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",4 天,2022/10/25 20:30 – 2022/12/09 02:00,2022/10/25 20:30:00,2022/12/09 02:00:00,
 Aries 快拆式大錐刀磨豆機 ｜83mm 3 秒快拆式鍍鈦錐刀，5 段式可調式研磨轉速，在家就能享受頂級精品咖啡風味,米克斯酷,7356200,28900,https://www.zeczec.com/projects/aries,"在家喝咖啡也能很享受。專為咖啡痴匠心打造的 Aries 磨豆機，獨家 3 秒刀盤快拆設計，結合 83mm 鍍鈦錐刀，為每一次磨豆留下最純粹風味，只留口齒餘香給您。,zeczec",25 天,2022/11/15 21:00 – 2022/12/29 23:59,2022/11/15 21:00:00,2022/12/29 23:59:00,
【半導體金屬鍍膜升溫防水外套 】戶外機能走入城市：銅鈦金屬極速升溫、長效抗菌｜2 IN 1 設計，實現全場域穿搭自由！,HUNDR.,357650,7290,https://www.zeczec.com/projects/wave-breaker-3l-jacket,"HUNDR. 秉持對簡約設計及布料科技的堅持，利用獨家半導體金屬鍍膜技術聯手台灣品牌oqLiq合作設計，打造出穿梭在城市間的The Wave Breaker 3L Jacket。 ,zeczec",43 天,2022/12/01 12:00 – 2023/01/16 23:59,2022/12/01 12:00:00,2023/01/16 23:59:00,✅
【全力揮擊】原創沉浸式棒球主題桌遊｜朋友聚會、親子時光、球迷競技都適合的經典收藏桌遊,【全力揮擊 ShowTime】,807921,1500,https://www.zeczec.com/projects/showtime,"馬上來場緊張刺激的棒球比賽！在冷氣房中享受在球場上揮汗的樂趣，體驗揮棒打擊的快感。變化多端的攻防事件與靈活的防守布陣，九局下半，等你來一棒炸裂，獲得最終的勝利。,zeczec",7 天,2022/09/29 20:00 – 2022/12/11 23:59,2022/09/29 20:00:00,2022/12/11 23:59:00,
【百萬封關 早鳥53折】運動專屬 無重力內著｜獨立囊袋・抑菌除臭・超強延展｜純粹舒適的新體驗,Apartment.b 男子公寓,1053990,1499,https://www.zeczec.com/projects/apartmentb-underwear,"無重力內著，給您無重力般的舒適體驗｜使用Tactel Nylon6.6 超細纖維｜美國 Sciessent 銅銀離子 除臭技術｜創造時尚與機能兼具的新時代內著,zeczec",47 天,2022/11/10 11:00 – 2023/01/20 23:59,2022/11/10 11:00:00,2023/01/20 23:59:00,
【超早鳥66折】iRef 家用智能驗光儀 | 在家就能測量視力度數 x 近遠視 x 散光 | 眼管家,康成生醫,131000,4800,https://www.zeczec.com/projects/iref,"每個家庭的視力守護神，讓所有家庭擁有自己的“眼管家”,zeczec",41 天,2022/12/01 21:00 – 2023/01/14 23:59,2022/12/01 21:00:00,2023/01/14 23:59:00,✅
MUFU V20S ｜雙鏡頭機車行車記錄器｜超大電量連續錄影長達7.5小時｜即扣即錄免按鍵使用很簡單,MUFU,4106461,2990,https://www.zeczec.com/projects/mufu-v20s,"機車行車記錄器使用可以很簡單，MUFU推出一款男女老少都能使用的機車行車紀錄器，行車記錄簡單搞定！,zeczec",25 天,2022/10/26 11:00 – 2022/12/30 02:00,2022/10/26 11:00:00,2022/12/30 02:00:00,
媽媽友MAMAYO黏土｜不會乾、重複玩的台灣製黏土，安心完美黏土提案：CP最高、玩法最多、清潔最易！,媽媽友mamayo,512241,1599,https://www.zeczec.com/projects/mamayo-clay,"革命性專利技術，打造最適合孩子的三款特殊材質黏土，建構孩子想像、益智學習、感官探索體驗，解決了目前市售黏土的所有痛點，堪稱黏土界的最強王者！,zeczec",40 天,2022/11/28 12:00 – 2023/01/13 23:59,2022/11/28 12:00:00,2023/01/13 23:59:00,
無釦愛布棉｜全球第一片專利自黏布衛生棉 ∞ 有機棉，好環保、好固定、好清洗，適用各種褲型,和諧生活有機棉,502456,980,https://www.zeczec.com/projects/wego,"熱銷超過 600多萬片的愛布棉推出全新二代｜自黏無釦版！100%有機棉瞬吸乾爽 x 自黏耐用好固定 x 輕鬆洗淨，給您最天然透氣的貼身保護 ，無釦更自由，也照顧了地球,zeczec",27 天,2022/11/02 20:00 – 2022/12/31 23:59,2022/11/02 20:00:00,2022/12/31 23:59:00,
OLTAS 日本製100%喀什米爾圍脖【嘖嘖400萬超人氣好評贊助 x 第二彈！】耐用可機洗 典雅奢華的頂級天然素材,Single Step,1342730,3980,https://www.zeczec.com/projects/Oltas-Japan,"台日超過萬人好評贊助！日本愛知縣OLTAS紡織工藝，將珍貴的喀什米爾高山羊絨，製作可機洗不變型，越使用越蓬鬆，輕量且不厚重的溫暖圍脖。冬日最值得擁有的溫暖職人逸品。❄️ 現在下訂農曆年前出貨！,zeczec",30 天,2022/11/30 12:00 – 2023/01/03 23:59,2022/11/30 12:00:00,2023/01/03 23:59:00,✅
【VariShot V-16電子靶】風靡全球的雷射槍射擊訓練機｜美國真槍規格X多元挑戰模式｜全民射擊運動新潮流，隨時隨地打造專屬靶場！,信咚企業股份有限公司 Sean and Stephen Corporation,1115229,7100,https://www.zeczec.com/projects/varishot,"美國募資破百萬、空氣槍國手推薦的雷射槍訓練機登場！真槍規格X多元模式，有效提升射擊準度、手眼協調與專注力！不論在家或戶外，親子同樂或跑趴露營，隨時隨地打造專屬靶場，讓您實現射手夢！,zeczec",24 天,2022/11/28 12:00 – 2022/12/28 23:59,2022/11/28 12:00:00,2022/12/28 23:59:00,
【大人限定】三回合讓彼此臉紅心跳、按捺不住的床上組合｜遊慾Ｘ翻抽屜，聯手激燃新情趣！,GINRO 情樂創意,60980,1980,https://www.zeczec.com/projects/ginro2022,"大人的玩具，可不只簡單三五種玩法！微床遊《遊慾》為希臘玩具「雙頭蛇」設計專屬卡牌，陪著你和妳，發掘未曾有過的 36 種壞壞新體驗！,zeczec",16 天,2022/11/23 22:00 – 2022/12/20 23:59,2022/11/23 22:00:00,2022/12/20 23:59:00,
CheerTok超能控臺灣限定版「全能智慧口袋迷你觸控板」全球熱賣千萬｜專為現代人設計，輕鬆掌控所有3C產品,Cheertok TW,606481,1380,https://www.zeczec.com/projects/cheertoktw,"2022榮獲紅點設計，符合人體工學「CheerTok 超能控」，無論您是在創作者、辦公室工作、演講還是在沙發上享受娛樂，輕巧簡單都能讓你輕鬆掌控所有3C設備。,zeczec",42 天,2022/11/28 20:00 – 2023/01/15 23:59,2022/11/28 20:00:00,2023/01/15 23:59:00,✅
日本皇室宮內廳御用 · 職人手工高級透明傘 WHITE ROSE｜300年歷史日本職人老舖全新優雅之作,Single Step,644510,2680,https://www.zeczec.com/projects/WhiteRose-Japan,"日本傳統櫻皮細工樺木握把、十六枚玻璃纖維傘骨、專利氣閥強風不拖曳翻轉、 特殊傘布視野清透安全不劣化。融入搭襯各式穿著，讓人期待雨天撐起的一盞優雅。,zeczec",22 天,2022/11/25 12:00 – 2022/12/26 23:59,2022/11/25 12:00:00,2022/12/26 23:59:00,
iMAT 翻轉切割墊 2.0｜大面積使用、輕鬆摺疊好攜帶，全新吸磁、收納功能，便利再升級！,iMAT,191482,1496,https://www.zeczec.com/projects/imat-2,"延續『大面積使用，小面積攜帶』形式， 搭配強力磁鐵使用的『吸磁版』／夾持 新型專利-微笑U型夾的『收納版』， 絕對顛覆您對切割墊創新的想像！,zeczec",24 天,2022/11/30 21:00 – 2022/12/28 23:59,2022/11/30 21:00:00,2022/12/28 23:59:00,✅
DOSUN CG135 多功能 eBIKE｜135 公里長效輔助動力，輕巧車身極致騎乘體驗，採買／休閒／冒險，一車滿足百變需求,DOSUN,1326470,85000,https://www.zeczec.com/projects/dosuncg135,"台灣腳踏車品牌 DOSUN 最新 eBIKE ，135 公里長效輔助動力，搭配輕巧車身，讓你騎得更遠更輕鬆，一起完成那些曾經的冒險夢想！,zeczec",8 天,2022/10/11 21:00 – 2022/12/12 23:59,2022/10/11 21:00:00,2022/12/12 23:59:00,
⏰倒數24小時，把握最後的7️⃣1️⃣折！之後只漲不降價！【WondaMop｜免換水淨水拖把組】污水淨化 × 淨水循環 × 細菌濾淨 × 免倒換水 × 極致乾淨,富商國際股份有限公司,5335210,1420,https://www.zeczec.com/projects/wondamop,"2000年來拖把的全新革命：讓人""嘖嘖稱奇""的拖把! 拖地居然可以不用換水，2.5公升拖地水...居然可以重覆使用如此清澈！ 『從此拖地免換水』＃超濾淨＃真乾淨,zeczec",8 天,2022/10/25 12:00 – 2022/12/13 02:00,2022/10/25 12:00:00,2022/12/13 02:00:00,
三年煉一傘！台灣研發挑戰世界最細的晴雨傘！一把摺疊傘最理想的樣子就是【極工傘】,米塔培拉精品傘業有限公司,984600,968,https://www.zeczec.com/projects/metabrella,"關於「一把摺疊傘最理想的樣子」。透過骨架機構的迴避設計，達到收折後世界第一細的特徵，同時保有晴雨傘最易被犧牲掉的傘面尺寸，並維持了傘應有的強韌程度。預期可賦予我們的產品-極工傘真正的輕巧易攜，且...,zeczec",23 天,2022/11/01 07:00 – 2022/12/27 23:59,2022/11/01 07:00:00,2022/12/27 23:59:00,
【Circle By Circle，孩子的教養旅程一步不漏】0-1.5 歲寶貝限定！唯一幫助你突破教養不一致訂閱制教具＋給照顧者的完整指引 ,Circle By Circle 圈圈玩旅,1183520,1500,https://www.zeczec.com/projects/circle-by-circle,"◖◖ 不只是教玩具，以醫學、科學為基礎，融合跨學派教育理論; 前樂高 LEGO 設計總監＋五大領域專家共同創作，依月齡精細劃分，陪你輕鬆解鎖寶寶每一個發展里程碑！◗◗,zeczec",12 天,2022/10/19 11:00 – 2022/12/16 23:59,2022/10/19 11:00:00,2022/12/16 23:59:00,
Goodly 智慧刮痧拔罐器｜專為注重健康養生的你而生，一鍵刮出好氣色！開啟刮痧、拔罐、滑罐3in1的新體驗，掀起拔罐刮痧新革命！,星承健康生技,62550,850,https://www.zeczec.com/projects/goodly-3in1,"居家智能拔罐器，一鍵切換刮痧、拔罐、滑罐超便利～ 告別耗時耗力的手動式傳統拔罐。 在家刮痧，拔罐保健，拔罐刮痧不求人！ 電池容量加大至450mAh，使用時間大翻倍！,zeczec",26 天,2022/11/25 18:00 – 2022/12/30 23:00,2022/11/25 18:00:00,2022/12/30 23:00:00,
#全球獨創技術 DarMo® 達摩經絡儀 | 疏通經絡促進循環幫助睡眠、輕鬆減壓,DarMo® 達摩經絡儀,634271,16800,https://www.zeczec.com/projects/DarMo,"整合３大領域「中西醫、自然醫學」與 王唯工教授 建立的氣血共振理論基礎，開發出「減壓舒眠經絡儀」，透過微電流電導場共振技術，與人體經絡同步共振，激發人體自癒潛能， 讓我們都能往 更平衡 的狀態前進,zeczec",30 天,2022/11/22 10:30 – 2023/01/03 23:59,2022/11/22 10:30:00,2023/01/03 23:59:00,
【樹懶架】多功能懶到底手機平板支架│ 穩穩地支撐你的懶散 坐著、躺著、趴著， 隨處都可立,暮光設計,254390,1940,https://www.zeczec.com/projects/shu-lan-jia,"發懶無罪，耍廢當道！不管你要坐著、躺著、甚至趴著看手機，樹懶架都可以好好撐住你。 五段式高度、360度角度調整，正的、反的，你的各種耍廢姿勢，它都可以支撐，解放雙手，一起懶得理直氣壯！,zeczec",58 天,2022/11/28 21:00 – 2023/01/31 23:59,2022/11/28 21:00:00,2023/01/31 23:59:00,✅
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,1419015,1180,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",27 天,2022/10/26 12:30 – 2022/12/31 23:59,2022/10/26 12:30:00,2022/12/31 23:59:00,
GG褲 海洋系｜來自大海的淬鍊，獨家使用來自大海的SEAWOOL® 海毛紗，兼具舒適/輕薄/快乾/恆溫涼感/永久除臭 功能,URBAN CREW,1125065,980,https://www.zeczec.com/projects/GGCOOLSEA,"熱賣超過200萬的【GG褲(森林系)】推出全新海洋系！太空ionic+太空銀纖維 結合 SEAWOOL® 海毛紗，一次擁有 遠紅外線∕涼感舒適∕吸濕排汗∕99% 抗菌防臭∕3D立體囊袋∕防磨腰頭...,zeczec",11 天,2022/11/01 11:30 – 2022/12/15 23:59,2022/11/01 11:30:00,2022/12/15 23:59:00,
【 椅研室｜TX370 人體工學椅】8段可調，你想要的舒適，都可以調！最符合你身型的韓國製 網格人體工學椅！,Chair Lab 椅研室,278190,8980,https://www.zeczec.com/projects/chairlab-tx370,"韓國品牌 Otthonos 擁有長達 40 年在辦公椅和人體工學椅領域研究開發與生產製作的經驗。在6D人體工學椅的98%好評後Otthonos 和 Chair Lab 椅研室再度攜手合作推出豪華...,zeczec",28 天,2022/10/26 12:00 – 2023/01/02 02:00,2022/10/26 12:00:00,2023/01/02 02:00:00,
Tent Acme 極.美.秒換面紙盒〖皮革低碳版〗| 瞬間成為美好的存在! ,TaG 創夏設計,656058,1155,https://www.zeczec.com/projects/tent-2-0,"用極致的視覺藝術定義面紙盒，簡約弧線百搭沒有侷限。升級為低碳皮革面料的TentAcme 面紙盒以磁吸3秒更換的超直覺設計達到免組裝，即可秒速裝填與更換面紙。 優美弧度的簡約外型，為你生活提升質感...,zeczec",26 天,2022/11/01 12:00 – 2022/12/30 23:59,2022/11/01 12:00:00,2022/12/30 23:59:00,
Cache 2.0 快取感應立夾｜俐落感應卡夾 x 最美手機支架,ZENLET 禪與徠特,367643,750,https://www.zeczec.com/projects/zenlet-cache2,"MagSafe 錢包就是手機支架！可容納 1+2 張卡片，支援直接感應與快速取卡，零多餘結構，成就兼具極簡與功能的隨身配件。,zeczec",31 天,2022/11/29 12:00 – 2023/01/05 02:00,2022/11/29 12:00:00,2023/01/05 02:00:00,✅
【限時37折】🌳小芳純森🌳空間防護迷你擴香儀｜隨處可用×分解臭味×精油擴香×香氛1秒快速換,BRISE 空氣淨化專家,387753,1090,https://www.zeczec.com/projects/snano,"首款兼具「空氣淨化」＋「精油擴香」的擴香儀！瞬間分解空氣中異味雜質，還原精油原始香氛。6x6公分粉餅盒大小，吸、掛、放使用超方便！,zeczec",27 天,2022/11/15 21:00 – 2023/01/01 00:00,2022/11/15 21:00:00,2023/01/01 00:00:00,
