商品名稱,品牌名稱,累積金額,商品單價,商品網址,商品規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
XpreSole® Blocks 全防水積木咖啡靴｜踏出童心，擺脫潮濕！無論晴雨，每一步都輕盈乾爽,Lab22 Taiwan,2347660.0,4480.0,https://www.zeczec.com/projects/xpresole-blocks,"Blocks 積木咖啡靴｜由咖啡渣製成、防水、透氣、舒適、超輕、乾爽等 12 項超強機能，加上獨家積木鞋底，帶你找回童心，穿出風格！,zeczec",47 天,2022/10/31 12:00 – 2023/01/06 23:59,2022-10-31 12:00:00,2023-01-06 23:59:00
【 that 想想鍋｜超早鳥優惠強勢回歸】超越傳統電鍋的智能電鍋，星級料理隨時上桌！,that,2134540.0,10900.0,https://www.zeczec.com/projects/that-ih-pressure-ricepot,"\\ 超早鳥優惠強勢回歸 // that 想想鍋具備 #IH環繞加熱 #類真空鑄鐵鍋蓋 #無油舒肥料理 等黑科技，兼具效率、節能、美學，讓您優雅享用健康美食，為生活增添美好！,zeczec",18 天,2022/10/25 20:30 – 2022/12/09 02:00,2022-10-25 20:30:00,2022-12-09 02:00:00
2022 最新款【 LG A9TS｜蒸氣濕拖無線吸塵器 】｜自動除塵旗艦再進化，獨家蒸氣雙旋濕拖＋全新LED輕薄寬扁吸頭，全方位瓦解難纏髒污，清潔不髒雙手。,LG ,2024650.0,34900.0,https://www.zeczec.com/projects/lg-a9ts,"LG 2022 最新機種 —— LG A9TS蒸氣濕拖無線吸塵器，搭載業界領先自動除塵功能，更加入獨家「蒸氣雙旋濕拖功能」，全方位無死角地解決地板頑強污垢。,zeczec",16 天,2022/11/03 21:00 – 2022/12/06 23:59,2022-11-03 21:00:00,2022-12-06 23:59:00
Allite CF1 多功能車用手機架｜首創 3-in-1 無線充電・磁吸支架・舒心擴香一次到位！ ,Allite ,1650652.0,1590.0,https://www.zeczec.com/projects/allite-cf1,"告別傳統手機架！創新結合 MagSafe 技術與擴香功能，打造一次到位的車用配備。CF1 全方位手機架，完美提升駕車體驗！ ,zeczec",16 天,2022/10/25 12:00 – 2022/12/07 12:00,2022-10-25 12:00:00,2022-12-07 12:00:00
【 🇯🇵 KOIZUMI｜Monster 日系暴風級負離子吹風機 】雙渦輪業界領先大風量，頭皮護理模式搭載，在家也能吹出髮廊級秀髮！,可易家電,1419978.0,3490.0,https://www.zeczec.com/projects/monster,"日本市佔前三，口碑超好評，2022 最新款式全新登台！雙渦輪超大風量 Ｘ 20 種組合模式，省去煩人的吹髮時間，還能開啟頭皮護理模式，從根本照顧秀髮！,zeczec",10 天,2022/10/26 20:00 – 2022/11/30 23:59,2022-10-26 20:00:00,2022-11-30 23:59:00
【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,KidenDesign,1411800.0,29800.0,https://www.zeczec.com/projects/shining3d-einstar,"【Shining3D EinStar｜手持式 3D 全彩超高速掃描器 】顛覆掃描市場、大範圍、超易用、超高CP值，掃描逆向建模王者再臨！,zeczec",30 天,2022/11/17 12:00 – 2022/12/20 23:59,2022-11-17 12:00:00,2022-12-20 23:59:00
〖 蠟筆小新熱壓吐司機 〗零失敗! 三分鐘療癒上桌♡ 高顏值小新×小白雙烤紋★陪你吃可愛長大,Norns,1343852.0,1690.0,https://www.zeczec.com/projects/norns,"日本官方授權 ‧ 全台首發 ♡《蠟筆小新：風起雲湧 光榮烤吐司之路》登場◆預購就送日式兩用收納袋◆省時省力一鍋到底★ 咖啡廳等級的吐司／鬆餅在家輕鬆做。一機在手，療癒無限、美味無窮,zeczec",30 天,2022/11/01 11:00 – 2022/12/20 23:59,2022-11-01 11:00:00,2022-12-20 23:59:00
折疊坐站升降邊桌| 一桌三用 化身你的邊桌ｘ工作桌ｘ餐桌,aka-ilife,1339907.0,3980.0,https://www.zeczec.com/projects/aka-folding_side_table,"傳統床頭櫃&茶几體積大較笨重，移動上困難，使用時還需彎腰，長期下來會引發肌肉骨骼問題。aka 折疊坐站升降邊桌☆小空間救星☆升降可調幅度62cm-109cm，完美搭配各種場域及身高體型,zeczec",10 天,2022/10/26 12:00 – 2022/11/30 23:59,2022-10-26 12:00:00,2022-11-30 23:59:00
Fuumas Puzzle 阿里山百年 SL-21 夏依式火車收藏紀念款模型 | 祝賀阿里山林業鐵路 & 夏依式火車 110 周年、3D 立體可動木質模型拼圖！,富馬樂創,1307477.0,1970.0,https://www.zeczec.com/projects/FuumasPuzzle-SL-21,"透過現代工藝、設計巧思，讓消費者以合理的價格，擁有「立體、可手動、著重細節」的DIY木質蒸汽機車拼圖！,zeczec",39 天,2022/11/16 10:30 – 2022/12/29 23:59,2022-11-16 10:30:00,2022-12-29 23:59:00
通過美國最高軍武級防護規格 | Wetop C300Pro 環境淨化器，主動清淨，即時淨化空氣及物體表面，專為呼吸安全打造,WETOP 數緯環境科技,1282520.0,19600.0,https://www.zeczec.com/projects/wetop-c300pro,"今年我們再度推出一台以 「即時呼吸安全防護」 的環境淨化器，不僅能夠淨化空氣、還可以淨化物體表面，提供最高規格的美國軍武級安全防護，同時又兼顧安全、安靜需求，以24小時不間斷使用標準，打造可固定...,zeczec",55 天,2022/11/15 21:00 – 2023/01/15 02:00,2022-11-15 21:00:00,2023-01-15 02:00:00
月動褲｜吸血長褲＆吸血短褲，超大吸血面積 x 一件抵三件 x 專利反摺邊防漏工法，超越所有衛生棉，讓月亮褲®解放你的經期 Body！,谷慕慕 GoMoond,1121097.0,3033.0,https://www.zeczec.com/projects/GoMoond,"台灣第一件吸血內褲品牌 - 月亮褲®推出的最新力作，「內外褲一體式設計」的吸血長褲＆吸血短褲，讓每個有月經的人，在經期也能更安心自在活動！,zeczec",29 天,2022/11/08 20:00 – 2022/12/20 02:00,2022-11-08 20:00:00,2022-12-20 02:00:00
請來買「腳頭老大」們做的「快樂襪」｜瑪利亞身心障礙青年終於開襪子店了，努力籌措第一批訂單！,財團法人瑪利亞社會福利基金會,1120209.0,1698.0,https://www.zeczec.com/projects/merry-young-x,"誰說身心障礙青年只能等人救助？刷新以往對於心智障礙者的偏見，一起穿上他們創作的舊城心故事 Merry Youngの 老派約會快樂襪，「走到哪裡」都能感受到台中爆笑又天真的人情味,zeczec",39 天,2022/11/01 11:00 – 2022/12/29 23:59,2022-11-01 11:00:00,2022-12-29 23:59:00
《歲月靈光｜國家地理2023年攝影日曆》 透過黃框，開啟通往世界的窗口,國家地理,1034225.0,1180.0,https://www.zeczec.com/projects/ngo-2023-calendar,"國家地理團隊首度推出攝影日曆《歲月靈光》，由創刊至今一百多年的照片中，精選 365 張大師經典，搭配豐富的影音知識內容，在新的一年中，每天與您分享一個精彩故事。,zeczec",10 天,2022/10/26 12:30 – 2022/11/30 23:59,2022-10-26 12:30:00,2022-11-30 23:59:00
【WATCH THE MUSIC】潮流智能音樂眼鏡 / 墨鏡 - 讓科技融入生活、從此釋放雙耳！,KlassiC. x AES x SOLOS,996200.0,8200.0,https://www.zeczec.com/projects/klassic,"結合亞洲臉型鏡框、潮流時尚風格與最新智能科技，歷時兩年研發打造集聽歌通話與健康監測於一身，能自在配戴的整合性智慧音樂眼鏡 / 墨鏡！,zeczec",40 天,2022/11/15 21:00 – 2022/12/30 23:59,2022-11-15 21:00:00,2022-12-30 23:59:00
GG褲 海洋系｜來自大海的淬鍊，獨家使用來自大海的SEAWOOL® 海毛紗，兼具舒適/輕薄/快乾/恆溫涼感/永久除臭 功能,URBAN CREW,963820.0,980.0,https://www.zeczec.com/projects/GGCOOLSEA,"熱賣超過200萬的【GG褲(森林系)】推出全新海洋系！太空ionic+太空銀纖維 結合 SEAWOOL® 海毛紗，一次擁有 遠紅外線∕涼感舒適∕吸濕排汗∕99% 抗菌防臭∕3D立體囊袋∕防磨腰頭...,zeczec",25 天,2022/11/01 11:30 – 2022/12/15 23:59,2022-11-01 11:30:00,2022-12-15 23:59:00
iPhone 錄音機 Magmo ｜最簡單小巧的通話錄音機｜美國熱銷破千萬！｜使用壓電傳感器有效阻斷周圍噪音｜快速、方便地錄製通話的最佳選擇,MUNE Taiwan,941198.0,2699.0,https://www.zeczec.com/projects/buzz-magmo,"不需另裝app、網路或藍芽連線，簡單磁吸安裝，輕鬆隨開即錄，協助您輕鬆錄下所有重要通話內容。,zeczec", 12 小時,2022/10/26 20:00 – 2022/11/21 23:59,2022-10-26 20:00:00,2022-11-21 23:59:00
ACERA活瓷能量杯 | 不可思議的神奇杯子，水、咖啡、茶、牛奶都變更好喝了,Weis,911440.0,1780.0,https://www.zeczec.com/projects/acera-energy-cup,"手工製作的隨身杯，杯身內膽能量釋放改變了分子結構，任何飲品倒入後都會產生神奇的變化，讓您無時無刻充滿驚喜！,zeczec",30 天,2022/10/25 12:00 – 2022/12/21 02:00,2022-10-25 12:00:00,2022-12-21 02:00:00
REO 大馬士革主廚刀｜天然紋路美感盡現！讓你刀刀精準俐落，縱橫天下料理！,Hard Crafts,860190.0,3090.0,https://www.zeczec.com/projects/reo,"美國募資破800萬，千人秒殺，超高CP值，完美結合「歐日廚刀工藝」與「兩大頂級鋼材」的職人逸品主廚刀！,zeczec",23 天,2022/10/25 21:00 – 2022/12/14 02:00,2022-10-25 21:00:00,2022-12-14 02:00:00
《梗圖黃牌》最異想天開的圖文配對！迷因梗王就是你！,多重宙文創娛樂,853660.0,1680.0,https://www.zeczec.com/projects/TW-MEME-Yellow-Cards,"最歡樂的派對桌遊《黃牌》推出全新商品，匯集台灣最熱門的各種迷因。如果配出太冷的梗可是會被發黃牌的喔！,zeczec",49 天,2022/11/07 20:00 – 2023/01/08 23:59,2022-11-07 20:00:00,2023-01-08 23:59:00
Go 1 Pro 機器狗 | 未來就是現在！真正的陪伴型機器人來了,Unitree Taiwan,772000.0,96500.0,https://www.zeczec.com/projects/unitreego1pro,"能跑、能滾、能玩、能載！全球首款消費級陪伴四足機器人 擁有最新黑科技原來不用上百萬天價，與你一同探索未來的無限可能！,zeczec",31 天,2022/11/01 12:00 – 2022/12/22 02:00,2022-11-01 12:00:00,2022-12-22 02:00:00
