projects,proposer,current_amount,current_price,projects_url,spec,remaining_time,group_period
募資倒數3天【葉添YeTech｜匠人級收納雙刀組】是刀盒也是砧板，刀具 / 砧板 / 收納 / 攜帶 4in1，戶外廚房10秒帶出門！,葉添 YeTech Craft,5743380.0,4150.0,https://www.zeczec.com/projects/yetech-2022,"台灣百年製刀品牌「葉添」專為戶外露營打造「攜帶型專業廚刀組」。 結合VG10頂級鋼材雙刀、砧板、磁吸收納設計、透氣提袋為一體，一個包陪你上山下海，10秒即可外帶行動廚房，到哪都能大展廚藝！,zeczec",3 天,2022/09/06 21:00 – 2022/11/04 02:59
,,,,https://www.zeczec.com/projects/showtime,,,
,,,,https://www.zeczec.com/projects/holdu,,,
,,,,https://www.zeczec.com/projects/ideacam,,,
,,,,https://www.zeczec.com/projects/earth-calendar-2023,,,
,,,,https://www.zeczec.com/projects/logitech-edu,,,
,,,,https://www.zeczec.com/projects/goodday,,,
,,,,https://www.zeczec.com/projects/moneycome,,,
,,,,https://www.zeczec.com/projects/logitech-PC,,,
,,,,https://www.zeczec.com/projects/wonderbook,,,
這真的太 G8 了！由玩家們舉辦的遊戲展，給你更不一樣的體驗！,G-EIGHT 巨罷娛樂,771643.0,990.0,https://www.zeczec.com/projects/geight2022,"一個由玩家自己籌辦，屬於玩家的電玩展。 為台灣獨立遊戲為主打的遊戲展，今年冬季隆重開展~,zeczec",20 天,2022/10/18 20:00 – 2022/11/20 23:59
【木直牛勿】澐森之巔 再美一年 台灣山月曆,木直牛勿,1835331.0,950.0,https://www.zeczec.com/projects/plantpractice2022,"我們是「木直牛勿」，喜歡山林，也喜歡畫畫。​ 希望透過畫筆，將台灣山林之美帶入各位的生活中：）,zeczec",30 天,2022/09/27 11:30 – 2022/12/01 02:00
2023 懂懂漢方曆 ✦ 讓中醫知識融入生活，陪你漢方養生一整年！,懂懂漢方(上荷生醫),394860.0,830.0,https://www.zeczec.com/projects/dongherb2023,"常見中藥材 × 實用藥帖，不只體驗本草之美，更享受有漢方的美好日常 ◔.̮◔✧,zeczec",15 天,2022/09/20 20:00 – 2022/11/15 23:59
Flōt 舒眠浮樂枕 ｜體驗可調式：物理牽引+漂浮舒壓，雙重舒眠享受的超級機能枕,Jolie有點酷,1663497.0,2480.0,https://www.zeczec.com/projects/trippal-flot,"全面破解惡性循環的失眠魔咒！全球首款~可彈性調整～完美整合「物理微牽引」、「飄浮輕舒壓」、「革新專利材料」與 「全方位人體工學」的精品級舒壓機能枕！,zeczec", 41 小時,2022/07/12 21:00 – 2022/11/03 02:00
【il modo小長夾】是日製手工真皮小長夾，也是職人的信念,STATUSY TAIWAN x 有設計,1504345.0,3560.0,https://www.zeczec.com/projects/ilmodo,"職人嚴選日本姬路高品質真皮皮革，歷經層層工序，將信念與期待融入手作，傾聽使用者的聲音，持續創新設計，盼能為使用者帶來幸福感，同時傳承製革傳統工藝,zeczec",56 天,2022/10/18 10:30 – 2022/12/26 23:59
