集資項目,提案人,累積金額,產品單價,項目網址,項目規格,剩餘時間,集資期間(30天內開團的商品),集資開始,集資結束
永恆金庸・無限江湖：【金庸作品集】平裝改版計畫,遠流出版公司,1183935,9490,https://www.zeczec.com/projects/jingyong,"2024年是「金庸百年」，遠流預計推動三年期的【金庸作品集】平裝改版計畫（二版），全套36冊，每年出版12冊。兼具收藏性與創意性的贈品規劃，期盼更多新讀者進入金庸的多重宇宙！,zeczec",40 天,2022/09/07 11:00 – 2022/10/17 23:59,2022-09-07 11:00:00,2022-10-17 23:59:00
《小島散步》2023 木框掛曆×散步小包｜花的美好祝福 ft. 錦源興台南百年布莊,Better Life好感生活研究所,1159492,890,https://www.zeczec.com/projects/betterlife2023,"「台灣的可愛，想讓全世界知道！」《小島散步》2023年木框掛曆以「花的美好祝福」為主題，描繪台灣四季花卉景點與花語祝福，並攜手「錦源興台南百年布莊」聯名合作獨家印花「小花園散步小包」。,zeczec",8 天,2022/08/09 21:00 – 2022/09/15 23:59,2022-08-09 21:00:00,2022-09-15 23:59:00
【 CoolBar．酷吧！冷萃咖啡機 】 我的咖啡我決定，個人隨行咖啡吧,Inpure,946880,3880,https://www.zeczec.com/projects/coolbar-coffeemaker,"不須加冰水，半導體急速製冷，冷萃咖啡 𝒔𝒐 𝒆𝒂𝒔𝒚。5℃鮮萃，不加冰塊 ，享受原味不稀釋。4小時恆冷，第一口到最後一口一樣冰爽。入口滑順 ，仿職人手法 360°離心萃取。,zeczec",22 天,2022/08/09 21:00 – 2022/09/29 23:59,2022-08-09 21:00:00,2022-09-29 23:59:00
TOMITA日本職人無刃磨泥器 · 料理不傷手指的溫柔設計｜米其林星級餐廳指定 日本燕三条百年物語之作 ,Single Step,919420,1080,https://www.zeczec.com/projects/tomita,"安全無刀刃創新磨泥器，手指觸摸也不會被割傷，將食材磨到徹底不浪費，不卡殘渣好清洗。日本金屬工藝之都燕三条百年物語之作，給喜愛料理的人一份溫柔，可使用終身的職人逸品。特別加開「米其林摘星餐廳」指定食器🌟,zeczec",26 天,2022/09/01 12:00 – 2022/10/03 23:59,2022-09-01 12:00:00,2022-10-03 23:59:00
Cool Smile 乾式行動水冷扇 ｜強力涼風有感直吹，乾爽不濕悶！,ecostar Taiwan,878928,2550,https://www.zeczec.com/projects/cool-smile,"打破你對水冷扇的既定印象！獲取台灣專利技術認證，無濾網的水冷扇也可以清涼有感，長久使用無需擔心高額電費！,zeczec",28 天,2022/08/17 20:00 – 2022/10/06 02:00,2022-08-17 20:00:00,2022-10-06 02:00:00
★仙女棒顯濕布尿布2.0★全球獨創尿濕顯示，新手一布到位！瞬吸乾爽，環保省錢超有感！,自備客,672146,1699,https://www.zeczec.com/projects/sparkiediaper2,"守護敏弱屁屁的MIT布尿布，帶著更合身親膚、耐久好用的設計重新回歸！去污不沾手，洗衣機就很乾淨，每個人都能輕鬆上手！,zeczec",41 天,2022/08/18 20:00 – 2022/10/19 02:00,2022-08-18 20:00:00,2022-10-19 02:00:00
日本Amvel傘最新力作！VERYKAL 8｜超進化羽量自動傘，市面上最輕8骨自動傘！安全防反彈、結構大升級，一把好傘一次到位！,Single Step,660540,1280,https://www.zeczec.com/projects/amvel-verykal8,"不要再將就地買傘了，不如一隻好傘陪你度過日常。超輕量230g之外，雨傘結構全面升級：抗風、防曬、速乾一次滿足！,zeczec",23 天,2022/08/17 12:00 – 2022/09/30 23:59,2022-08-17 12:00:00,2022-09-30 23:59:00
【Byzoom Fitness 收納機能美學 閃耀登場｜PURE WHITE 25kg可調式啞鈴＆站立收納健身椅】讓健身房融入您的居家生活。,Byzoom Fitness,649320,17200,https://www.zeczec.com/projects/byzoomfitness-dumbbell-bench,"15段重量調整、體積更小、時尚配色的可調式啞鈴，搭配站立收納、省力收折腳架、5段高度調整、外型簡約俐落，有別以往傳統設計的健身椅，獻給熱愛健身、追求風格美學的您。,zeczec",33 天,2022/09/01 12:00 – 2022/10/10 23:59,2022-09-01 12:00:00,2022-10-10 23:59:00
森下 沉浸式調光 LED 吸頂燈｜家的氛圍由你掌控，享受質感生活新濾鏡,MST 森下照明,641713,590,https://www.zeczec.com/projects/mst,"2022 最強居家改造計畫，「森下吸頂燈」提供遙控多段調光，可隨心所欲自由調整，搭配四種色光模式，適用各種日常情境，讓你輕鬆打造高質感生活風格。,zeczec",27 天,2022/08/23 10:30 – 2022/10/04 23:59,2022-08-23 10:30:00,2022-10-04 23:59:00
Besty表特紫錐菊私密氣墊噴霧-私密肌保養神器｜乾癢/異味/痘痘一瓶徹底修護您的私密肌,Besty表特紫錐私密氣墊噴霧,629104,890,https://www.zeczec.com/projects/besty,"全球首款美國進口台灣研發【私密瞬間乾爽抗菌】Besty表特私密肌保養神器,zeczec",24 天,2022/08/17 12:00 – 2022/10/01 23:59,2022-08-17 12:00:00,2022-10-01 23:59:00
日本旭川折折墊 | 多用途三角靠墊隨你折疊，體驗減壓生活新折學！,日本旭川,609660,2490,https://www.zeczec.com/projects/zhe-zhe-pillow,"給想減壓放鬆的你，三大「折」學體驗！專利折疊設計搭配高密度記憶芯，符合人體工學、慢回彈高支撐，將壓力交給折折墊，打造居家減壓「折」學生活！,zeczec",16 天,2022/08/10 10:30 – 2022/09/23 23:59,2022-08-10 10:30:00,2022-09-23 23:59:00
2023 日月之書 療癒寶盒~ 內含：療癒魔法手帳、能量桌曆、水晶靈擺、療癒寶石，再送萬元精美影音課程！做自己的療癒師，讓生活成為神聖儀式，用日日月月 書寫你的幸福春秋！,《河流》身心靈療癒誌,589293,2380,https://www.zeczec.com/projects/z-b0e440231f,"快打開這個魔法寶盒，和我們一同啟程吧！日子可以這樣過，日誌可以這樣寫，這是一場足以轉化你生命的儀式，每個人都是偉大的療癒師，讓我們在玩耍中療癒，在愛與覺知中，用日日月月，書寫你的幸福春秋！,zeczec",23 天,2022/08/11 10:00 – 2022/09/30 23:59,2022-08-11 10:00:00,2022-09-30 23:59:00
《神塔羅》｜第一套以台灣信仰為主題的MIT塔羅牌,GMT+8,561300,1300,https://www.zeczec.com/projects/spirittarot_taiwan,"▪️榮獲 2022 嘖嘖提案大賽出版組佳選（第四名）▪️以佛 / 道教與原住民自然信仰為軸，結合西方塔羅， 讓你使用的同時，彷彿獲得雙倍的指引與力量。,zeczec",39 天,2022/08/18 20:00 – 2022/10/16 23:59,2022-08-18 20:00:00,2022-10-16 23:59:00
🇬🇧 維爾｜新一代藍光眼鏡 x 偏光太陽眼鏡組合｜一鏡二用！最強CP值！,Derive Collection,554483,19999,https://www.zeczec.com/projects/veer,"SGS 驗證藍光鏡片，FDA認證鏡框材質，獨家特製的護眼方案 ！,zeczec",18 天,2022/08/24 11:30 – 2022/09/25 23:59,2022-08-24 11:30:00,2022-09-25 23:59:00
2023老派的生活日曆&手帳｜是寶島也是時光島！台灣第一本環島日曆,報時光,518655,890,https://www.zeczec.com/projects/oldschoolcalendar2023,"第一本以「環島」及「時代趣味」為概念出版的日曆作品， 讓我們「和時光作朋友，一起來環島」，收藏專屬老派迷的「寶島時光日曆」。,zeczec",23 天,2022/08/30 10:00 – 2022/09/30 10:00,2022-08-30 10:00:00,2022-09-30 10:00:00
【東龍嚴選】享淨淨 | 冰溫熱逆滲透淨飲機，六段智能溫控 ‧ 生水過濾 ‧ 自動生成富氫水,東龍家電,503330,13800,https://www.zeczec.com/projects/TE-521i,"東龍家電嚴選桌上型免安裝過濾淨水器，一鍵出水、3秒瞬熱，同時享有六段智能溫控及富氫水功能，無須拉線安裝，即插即用空間自由。,zeczec",54 天,2022/08/09 20:00 – 2022/10/31 23:59,2022-08-09 20:00:00,2022-10-31 23:59:00
